140,80,90,37,xlarge
180,50,120,60,xlarge
180,56,63,33.5,xlarge
162,5,42,6.55,xlarge
245,20,180,25,xlarge
200,10,10,0.98,xlarge
210,10,35,28.8,xlarge
210,10,35,28.8,xlarge
210,10,35,28.8,xlarge
210,10,35,28.8,xlarge
240,73,97,65.3,xlarge
200,60,120,90,xlarge
200,60,120,90,xlarge
200,60,120,90,xlarge
180,20,80,16,xlarge
115,92,100,46.6,xlarge
115,92,100,46.6,xlarge
115,92,100,46.6,xlarge
100,90,90,65,xlarge
200,20,80,20,xlarge
180,50,80,12,xlarge
200,60,90,62,xlarge
200,45,90,41.5,xlarge
200,45,90,41.5,xlarge
170,80,107,100,xlarge
204,46,79,42.8,xlarge
200,20,160,35,xlarge
190,24,130,10,xlarge
180,10,10,2.9,xlarge
185,10,10,3.5,xlarge
152,48,78,41.2,xlarge
152,48,78,41.2,xlarge
152,48,78,41.2,xlarge
150,11,62,18,xlarge
200,20,20,10,xlarge
201,17,17,8.3,xlarge
230,60,100,70,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,110,130,150,xlarge
200,38,100,40,xlarge
190,80,80,35.8,xlarge
140,70,90,50,xlarge
200,30,90,21.5,xlarge
200,30,90,21.5,xlarge
155,25,90,35,xlarge
195,3,42,22.9,xlarge
200,30,90,21.5,xlarge
200,27,90,10,xlarge
200,40,90,35,xlarge
200,40,90,35,xlarge
160,5,84,27,xlarge
185,60,60,87,xlarge
120,70,82,65,xlarge
120,70,82,65,xlarge
120,70,82,65,xlarge
120,70,82,65,xlarge
200,21,90,10,xlarge
150,10,94,19.7,xlarge
200,22,160,0.045,xlarge
152,48,78,41.2,xlarge
152,48,78,41.2,xlarge
152,48,78,41.2,xlarge
180,45,45,9.5,xlarge
170,40,40,9.95,xlarge
112,50,70,45.2,xlarge
210,45,130,85,xlarge
210,45,130,85,xlarge
200,30,180,2,xlarge
195,3,42,22.9,xlarge
195,3,42,22.9,xlarge
190,35,70,16.5,xlarge
880,610,660,10,xlarge
190,80,80,35.8,xlarge
150,23,90,22.5,xlarge
153,24,91,26.2,xlarge
182,52,52,40.1,xlarge
155,5,68,5.67,xlarge
200,28,160,51.7,xlarge
200,24,90,23.2,xlarge
200,24,90,23.2,xlarge
160,35,60,45,xlarge
200,30,90,20,xlarge
100,90,90,65,xlarge
155,20,45,8,xlarge
157,24,46,5.8,xlarge
195,93,99,140,xlarge
105,85,95,41.5,xlarge
105,85,95,41.5,xlarge
200,30,160,40,xlarge
200,28,90,24.6,xlarge
165,16,50,8.7,xlarge
196,93,93,140,xlarge
180,40,45,25,xlarge
49,33,38,52,xlarge
190,81,93,85,xlarge
200,20,90,12,xlarge
200,20,90,12,xlarge
205,8,95,20,xlarge
150,35,50,6,xlarge
200,90,90,50,xlarge
200,20,87,15.85,xlarge
200,90,90,50,xlarge
200,90,90,50,xlarge
200,90,90,50,xlarge
200,80,88,35,xlarge
200,80,88,35,xlarge
200,80,88,35,xlarge
200,80,88,35,xlarge
200,25,90,18,xlarge
180,20,80,15.6,xlarge
200,45,100,46.7,xlarge
200,45,100,46.7,xlarge
200,45,100,46.7,xlarge
200,28,160,51.7,xlarge
190,81,87,60,xlarge
170,90,140,40,xlarge
205,9,45,11.8,xlarge
200,30,90,21.5,xlarge
200,30,90,21.5,xlarge
200,23,90,18.64,xlarge
200,90,90,40,xlarge
200,90,90,40,xlarge
200,24,90,23.2,xlarge
200,8,20,16,xlarge
190,25,150,9.8,xlarge
200,7,8,0.8,xlarge
200,7,8,0.8,xlarge
200,7,8,0.8,xlarge
200,100,100,31.2,xlarge
192,65,70,81.7,xlarge
190,25,150,9.8,xlarge
200,10,80,35,xlarge
200,10,80,35,xlarge
200,26,90,17,xlarge
90,52,65,56.7,xlarge
180,7,12,0.84,xlarge
180,7,12,0.84,xlarge
180,7,12,0.84,xlarge
200,35,160,15,xlarge
155,25,90,35,xlarge
800,70,70,12.5,xlarge
200,7,8,0.8,xlarge
150,6,46,7.8,xlarge
200,25,160,18,xlarge
200,25,160,18,xlarge
200,20,100,65.5,xlarge
162,7,42,6.5,xlarge
175,14,42,7.8,xlarge
200,25,25,12.9,xlarge
198,85,85,38,xlarge
200,28,160,51.7,xlarge
180,40,80,40,xlarge
170,45,45,6.5,xlarge
172,50,50,5.3,xlarge
170,45,45,6.5,xlarge
172,50,50,5.3,xlarge
200,110,160,40,xlarge
200,110,160,40,xlarge
200,70,110,88,xlarge
200,70,110,88,xlarge
200,70,110,88,xlarge
180,50,80,12,xlarge
200,20,120,8.5,xlarge
200,30,120,19,xlarge
3000,7,9,1,xlarge
200,20,160,35,xlarge
200,40,160,45,xlarge
90,60,70,64,xlarge
172,68,72,66.85,xlarge
180,50,80,64.5,xlarge
320,25,25,29,xlarge
200,25,140,25,xlarge
200,35,160,15,xlarge
200,30,90,21.5,xlarge
200,20,90,12,xlarge
140,25,100,45,xlarge
205,40,165,55,xlarge
205,40,165,55,xlarge
205,40,165,55,xlarge
205,40,165,55,xlarge
165,25,45,32,xlarge
200,20,90,140,xlarge
200,50,60,3.265,xlarge
200,25,25,6.5,xlarge
170,3,90,5.1,xlarge
170,3,101,9.45,xlarge
200,20,20,15,xlarge
300,31,31,33.8,xlarge
168,44,46,45,xlarge
175,10,42,10.5,xlarge
88,66,70,75,xlarge
300,3,3,1.45,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
200,20,20,4,xlarge
320,25,25,11,xlarge
100,90,90,65,xlarge
200,25,25,5,xlarge
180,50,80,64.5,xlarge
200,20,90,17,xlarge
200,90,90,40,xlarge
